file_id,peak_name,area.cpm,depth,OG,amount.ug,conc_rock.ug_g,conc_tle.ug.g,conc_maltene.ug.g,yield,ratio
TSQ3466_GB_OG022,C24 Tri HO,5287.816665,101.9,22,21.64754237,1.963495906,4.810564971,3.006603107,0.02168391,NA
TSQ3466_GB_OG022,C25 Tri R+S HO,8014.038683,101.9,22,32.80829365,2.975808948,7.290731923,4.556707452,0.02168391,NA
TSQ3466_GB_OG022,C26 21-nor,6410.11128,101.9,22,26.24205117,2.380231399,5.831566927,3.64472933,0.02168391,NA
TSQ3466_GB_OG022,C26 aaa 20R ST,10123.77862,101.9,22,41.44525812,3.759207086,9.210057361,5.75628585,0.02168391,NA
TSQ3466_GB_OG022,C26 aaa 20S ST,3933.311225,101.9,22,16.10239666,1.460534844,3.578310369,2.23644398,0.02168391,NA
TSQ3466_GB_OG022,C26 aBB 20R ST,229.2382119,101.9,22,0.938467466,0.085121766,0.208548326,0.130342704,0.02168391,NA
TSQ3466_GB_OG022,C26 aBB 20S ST,368.7120306,101.9,22,1.509452731,0.136911812,0.33543394,0.209646213,0.02168391,NA
TSQ3466_GB_OG022,C26 Ba 20R ST,6441.081929,101.9,22,26.36884045,2.39173156,5.859742322,3.662338951,0.02168391,NA
TSQ3466_GB_OG022,C26 Ba 20S ST,2831.699642,101.9,22,11.59256114,1.051479468,2.576124698,1.610077936,0.02168391,NA
TSQ3466_GB_OG022,C26 Tri R HO,3177.700497,101.9,22,13.00903766,1.179958065,2.890897258,1.806810786,0.02168391,NA
TSQ3466_GB_OG022,C26 Tri S HO,3071.293813,101.9,22,12.57342437,1.140446655,2.794094306,1.746308941,0.02168391,NA
TSQ3466_GB_OG022,C27 17B H Ho,56770.93624,101.9,22,232.4118489,21.08043981,51.64707752,32.27942345,0.02168391,NA
TSQ3466_GB_OG022,C27 aaa 20R ST,463252.1154,101.9,22,1896.485909,172.0168625,421.4413131,263.4008207,0.02168391,NA
TSQ3466_GB_OG022,C27 aaa 20S ST,173245.5126,101.9,22,709.2416043,64.33030425,157.6092454,98.50577838,0.02168391,NA
TSQ3466_GB_OG022,C27 aB 20R ST,24464.78651,101.9,22,100.1552316,9.084374744,22.25671812,13.91044883,0.02168391,NA
TSQ3466_GB_OG022,C27 aB 20S ST,169304.1466,101.9,22,693.1062323,62.86677844,154.0236072,96.26475448,0.02168391,NA
TSQ3466_GB_OG022,C27 aBB 20R ST,24019.55195,101.9,22,98.33250686,8.919048241,21.85166819,13.65729262,0.02168391,NA
TSQ3466_GB_OG022,C27 aBB 20S ST,22345.37751,101.9,22,91.47868338,8.297386248,20.32859631,12.70537269,0.02168391,NA
TSQ3466_GB_OG022,C27 Ba 20R ST,371162.9956,101.9,22,1519.48662,137.8219157,337.6636934,211.0398084,0.02168391,NA
TSQ3466_GB_OG022,C27 Ba 20S ST,425172.2067,101.9,22,1740.592373,157.8768593,386.7983052,241.7489408,0.02168391,NA
TSQ3466_GB_OG022,C28 aaa 20R ST,358632.8682,101.9,22,1468.190125,133.1691723,326.2644722,203.9152951,0.02168391,NA
TSQ3466_GB_OG022,C28 aaa 20S ST,53822.99462,101.9,22,220.3434102,19.98579684,48.96520227,30.60325142,0.02168391,NA
TSQ3466_GB_OG022,C28 aB 20R ST,164144.6007,101.9,22,671.9838119,60.95091264,149.329736,93.33108499,0.02168391,NA
TSQ3466_GB_OG022,C28 aB 20S ST,180961.5941,101.9,22,740.830105,67.19547438,164.6289122,102.8930701,0.02168391,NA
TSQ3466_GB_OG022,C28 aBB 20R ST,132263.1761,101.9,22,541.4659567,49.11255843,120.3257681,75.20360509,0.02168391,NA
TSQ3466_GB_OG022,C28 aBB 20S ST,40793.75479,101.9,22,167.0036219,15.14772081,37.11191599,23.19494749,0.02168391,NA
TSQ3466_GB_OG022,C28 Ba 20R ST,385248.916,101.9,22,1577.152303,143.0523631,350.4782896,219.048931,0.02168391,NA
TSQ3466_GB_OG022,C28 Ba 20S ST,441420.1363,101.9,22,1807.109003,163.9101137,401.5797785,250.9873615,0.02168391,NA
TSQ3466_GB_OG022,C29 aaa 20R ST,412441.5612,101.9,22,1688.474986,153.1496586,375.2166636,234.5104148,0.02168391,NA
TSQ3466_GB_OG022,C29 aaa 20S ST,59303.75679,101.9,22,242.780843,22.02093814,53.95129845,33.71956153,0.02168391,NA
